hL_mm,spacing_mm,hU_mm,bushing_length_mm,ultimate_lower_case,ultimate_lower_R_kN,ultimate_upper_case,ultimate_upper_R_kN,max_ultimate_reaction_kN,max_ultimate_pressure_MPa,overrun_mm,lower_station_from_U_mm,upper_station_from_U_mm,full_extension_hL_mm,full_extension_hU_mm,nominal_hL_mm,nominal_hU_mm,physical_hL_mm,physical_hU_mm,virtual_hL_mm,virtual_hU_mm,physical_lower_surface_reserve_mm,virtual_lower_surface_reserve_mm,required_piston_guide_length_mm,nominal_top_intrusion_above_U_mm,physical_top_intrusion_above_U_mm,virtual_top_intrusion_above_U_mm,physical_full_bushing_engagement,virtual_full_bushing_engagement
200.0,150.0,350.0,30.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,32.81358620689655,0.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,5.0,-5.778999999999968,415.0,96.33800000000002,119.99999999999994,130.77899999999994,True,False
200.0,150.0,350.0,30.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,32.81358620689655,10.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,5.0,-5.778999999999968,425.0,106.33800000000002,129.99999999999994,140.77899999999994,True,False
200.0,150.0,350.0,30.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,32.81358620689655,20.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,5.0,-5.778999999999968,435.0,116.33800000000002,139.99999999999994,150.77899999999994,True,False
200.0,150.0,350.0,30.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,32.81358620689655,30.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,5.0,-5.778999999999968,445.0,126.33800000000002,149.99999999999994,160.77899999999994,True,False
200.0,150.0,350.0,40.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,24.610189655172416,0.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,0.0,-10.778999999999968,420.0,101.33800000000002,124.99999999999994,135.77899999999994,False,False
200.0,150.0,350.0,40.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,24.610189655172416,10.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,0.0,-10.778999999999968,430.0,111.33800000000002,134.99999999999994,145.77899999999994,False,False
200.0,150.0,350.0,40.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,24.610189655172416,20.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,0.0,-10.778999999999968,440.0,121.33800000000002,144.99999999999994,155.77899999999994,False,False
200.0,150.0,350.0,40.0,LC4+,57.09564,LC4+,44.585640000000005,57.09564,24.610189655172416,30.0,275.00000000000006,125.00000000000006,250.0,400.0,43.662000000000035,193.66200000000003,20.0,170.0,9.221000000000032,159.22100000000003,0.0,-10.778999999999968,450.0,131.33800000000002,154.99999999999994,165.77899999999994,False,False
250.0,75.0,325.0,20.0,LC4+,110.02128,LC4+,97.51128,110.02128,94.84593103448276,0.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,60.0,49.22100000000003,385.0,66.33800000000002,89.99999999999994,100.77899999999994,True,True
250.0,75.0,325.0,20.0,LC4+,110.02128,LC4+,97.51128,110.02128,94.84593103448276,10.0,225.00000000000006,150.00000000000006,300.0,375.0,93.66200000000003,168.66200000000003,70.0,145.0,59.22100000000003,134.22100000000003,60.0,49.22100000000003,395.0,76.33800000000002,99.99999999999994,110.77899999999994,True,True
