journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,brace_effective_arm_mm,Mx_kNm,brace_force_abs_kN
22.0,15.0,26.0,524.780356685791,limit,LC4-,250.0,-8.466604174759498,33.86641669903799
22.0,15.0,26.0,524.780356685791,limit,LC4-,300.0,-8.466604174759498,28.222013915864995
22.0,15.0,26.0,524.780356685791,limit,LC5,150.0,1.331064,8.87376
22.0,15.0,26.0,524.780356685791,limit,LC5,200.0,1.331064,6.65532
22.0,15.0,26.0,524.780356685791,limit,LC5,250.0,1.331064,5.324256
22.0,15.0,26.0,524.780356685791,limit,LC5,300.0,1.331064,4.43688
22.0,15.0,26.0,524.780356685791,ultimate,LC0,150.0,1.3414978723404254,8.943319148936169
22.0,15.0,26.0,524.780356685791,ultimate,LC0,200.0,1.3414978723404254,6.707489361702127
22.0,15.0,26.0,524.780356685791,ultimate,LC0,250.0,1.3414978723404254,5.365991489361702
22.0,15.0,26.0,524.780356685791,ultimate,LC0,300.0,1.3414978723404254,4.4716595744680845
22.0,15.0,26.0,524.780356685791,ultimate,LC1,150.0,4.5036,30.023999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC1,200.0,4.5036,22.517999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC1,250.0,4.5036,18.0144
22.0,15.0,26.0,524.780356685791,ultimate,LC1,300.0,4.5036,15.011999999999999
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,150.0,4.5036,30.023999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,200.0,4.5036,22.517999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,250.0,4.5036,18.0144
22.0,15.0,26.0,524.780356685791,ultimate,LC2A,300.0,4.5036,15.011999999999999
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,150.0,4.5036,30.023999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,200.0,4.5036,22.517999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,250.0,4.5036,18.0144
22.0,15.0,26.0,524.780356685791,ultimate,LC2B,300.0,4.5036,15.011999999999999
22.0,15.0,26.0,524.780356685791,ultimate,LC3,150.0,4.5036,30.023999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC3,200.0,4.5036,22.517999999999997
22.0,15.0,26.0,524.780356685791,ultimate,LC3,250.0,4.5036,18.0144
22.0,15.0,26.0,524.780356685791,ultimate,LC3,300.0,4.5036,15.011999999999999
22.0,15.0,26.0,524.780356685791,ultimate,LC4+,150.0,16.693098262139248,111.28732174759499
22.0,15.0,26.0,524.780356685791,ultimate,LC4+,200.0,16.693098262139248,83.46549131069624
22.0,15.0,26.0,524.780356685791,ultimate,LC4+,250.0,16.693098262139248,66.77239304855699
22.0,15.0,26.0,524.780356685791,ultimate,LC4+,300.0,16.693098262139248,55.643660873797494
22.0,15.0,26.0,524.780356685791,ultimate,LC4-,150.0,-12.699906262139246,84.66604174759497
22.0,15.0,26.0,524.780356685791,ultimate,LC4-,200.0,-12.699906262139246,63.49953131069623
22.0,15.0,26.0,524.780356685791,ultimate,LC4-,250.0,-12.699906262139246,50.79962504855698
22.0,15.0,26.0,524.780356685791,ultimate,LC4-,300.0,-12.699906262139246,42.33302087379749
22.0,15.0,26.0,524.780356685791,ultimate,LC5,150.0,1.9965960000000005,13.310640000000003
22.0,15.0,26.0,524.780356685791,ultimate,LC5,200.0,1.9965960000000005,9.982980000000001
22.0,15.0,26.0,524.780356685791,ultimate,LC5,250.0,1.9965960000000005,7.986384000000002
22.0,15.0,26.0,524.780356685791,ultimate,LC5,300.0,1.9965960000000005,6.6553200000000015
22.0,20.0,31.0,529.780356685791,limit,LC0,150.0,0.894331914893617,5.962212765957447
22.0,20.0,31.0,529.780356685791,limit,LC0,200.0,0.894331914893617,4.4716595744680845
22.0,20.0,31.0,529.780356685791,limit,LC0,250.0,0.894331914893617,3.577327659574468
22.0,20.0,31.0,529.780356685791,limit,LC0,300.0,0.894331914893617,2.9811063829787234
22.0,20.0,31.0,529.780356685791,limit,LC1,150.0,3.0023999999999997,20.016
22.0,20.0,31.0,529.780356685791,limit,LC1,200.0,3.0023999999999997,15.011999999999999
22.0,20.0,31.0,529.780356685791,limit,LC1,250.0,3.0023999999999997,12.009599999999999
22.0,20.0,31.0,529.780356685791,limit,LC1,300.0,3.0023999999999997,10.008
22.0,20.0,31.0,529.780356685791,limit,LC2A,150.0,3.0023999999999997,20.016
22.0,20.0,31.0,529.780356685791,limit,LC2A,200.0,3.0023999999999997,15.011999999999999
22.0,20.0,31.0,529.780356685791,limit,LC2A,250.0,3.0023999999999997,12.009599999999999
22.0,20.0,31.0,529.780356685791,limit,LC2A,300.0,3.0023999999999997,10.008
22.0,20.0,31.0,529.780356685791,limit,LC2B,150.0,3.0023999999999997,20.016
22.0,20.0,31.0,529.780356685791,limit,LC2B,200.0,3.0023999999999997,15.011999999999999
22.0,20.0,31.0,529.780356685791,limit,LC2B,250.0,3.0023999999999997,12.009599999999999
22.0,20.0,31.0,529.780356685791,limit,LC2B,300.0,3.0023999999999997,10.008
22.0,20.0,31.0,529.780356685791,limit,LC3,150.0,3.0023999999999997,20.016
22.0,20.0,31.0,529.780356685791,limit,LC3,200.0,3.0023999999999997,15.011999999999999
22.0,20.0,31.0,529.780356685791,limit,LC3,250.0,3.0023999999999997,12.009599999999999
22.0,20.0,31.0,529.780356685791,limit,LC3,300.0,3.0023999999999997,10.008
22.0,20.0,31.0,529.780356685791,limit,LC4+,150.0,11.170432174759496,74.46954783172997
22.0,20.0,31.0,529.780356685791,limit,LC4+,200.0,11.170432174759496,55.85216087379747
22.0,20.0,31.0,529.780356685791,limit,LC4+,250.0,11.170432174759496,44.68172869903798
22.0,20.0,31.0,529.780356685791,limit,LC4+,300.0,11.170432174759496,37.234773915864984
22.0,20.0,31.0,529.780356685791,limit,LC4-,150.0,-8.508304174759497,56.72202783172998
22.0,20.0,31.0,529.780356685791,limit,LC4-,200.0,-8.508304174759497,42.54152087379748
22.0,20.0,31.0,529.780356685791,limit,LC4-,250.0,-8.508304174759497,34.033216699037986
22.0,20.0,31.0,529.780356685791,limit,LC4-,300.0,-8.508304174759497,28.36101391586499
22.0,20.0,31.0,529.780356685791,limit,LC5,150.0,1.331064,8.87376
22.0,20.0,31.0,529.780356685791,limit,LC5,200.0,1.331064,6.65532
22.0,20.0,31.0,529.780356685791,limit,LC5,250.0,1.331064,5.324256
22.0,20.0,31.0,529.780356685791,limit,LC5,300.0,1.331064,4.43688
22.0,20.0,31.0,529.780356685791,ultimate,LC0,150.0,1.3414978723404254,8.943319148936169
22.0,20.0,31.0,529.780356685791,ultimate,LC0,200.0,1.3414978723404254,6.707489361702127
22.0,20.0,31.0,529.780356685791,ultimate,LC0,250.0,1.3414978723404254,5.365991489361702
22.0,20.0,31.0,529.780356685791,ultimate,LC0,300.0,1.3414978723404254,4.4716595744680845
22.0,20.0,31.0,529.780356685791,ultimate,LC1,150.0,4.5036,30.023999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC1,200.0,4.5036,22.517999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC1,250.0,4.5036,18.0144
22.0,20.0,31.0,529.780356685791,ultimate,LC1,300.0,4.5036,15.011999999999999
22.0,20.0,31.0,529.780356685791,ultimate,LC2A,150.0,4.5036,30.023999999999997
